RXCUI|INGREDIENT|ING_RXCUI
1000486|Estrogens, Conjugated (USP)|4099
1000486|Medroxyprogesterone|6691
1000487|Estrogens, Conjugated (USP)|4099
1000487|Medroxyprogesterone|6691
1000490|Estrogens, Conjugated (USP)|4099
1000490|Medroxyprogesterone|6691
1000491|Estrogens, Conjugated (USP)|4099
1000491|Medroxyprogesterone|6691
1000495|resveratrol|1000492
1000496|Estrogens, Conjugated (USP)|4099
1000496|Medroxyprogesterone|6691
1000497|Estrogens, Conjugated (USP)|4099
1000497|Medroxyprogesterone|6691
1000499|Estrogens, Conjugated (USP)|4099
1000499|Medroxyprogesterone|6691
1000500|Estrogens, Conjugated (USP)|4099
1000500|Medroxyprogesterone|6691
1000502|Dextromethorphan|3289
1000502|Guaifenesin|5032
1000502|Phenylephrine|8163
1000556|Fluorometholone|4491
1000556|Sulfacetamide|10169
1000558|Fluorometholone|4491
1000558|Sulfacetamide|10169
1000636|dimethicone|324072
1000647|Pilocarpine|8328
1000656|Pilocarpine|8328
1000660|Pilocarpine|8328
1000673|Sulfacetamide|10169
1000678|Sulfacetamide|10169
1000713|Sulfacetamide|10169
1000720|Sulfacetamide|10169
1000720|Sulfur|10223
1000731|Sulfacetamide|10169
1000731|Sulfur|10223
1000736|Sulfacetamide|10169
1000736|Sulfur|10223
1000859|Sulfacetamide|10169
1000859|Sulfur|10223
1000861|Sulfacetamide|10169
1000861|Sulfur|10223
1000862|Pilocarpine|8328
1000870|Pilocarpine|8328
1000876|Pilocarpine|8328
1000895|Sulfacetamide|10169
1000895|Sulfur|10223
1000897|Pilocarpine|8328
1000903|Pilocarpine|8328
1000907|Pilocarpine|8328
1000913|Pilocarpine|8328
1000915|Pilocarpine|8328
1000946|Sulfacetamide|10169
1000946|Sulfur|10223
1000976|Sulfacetamide|10169
1000976|Sulfur|10223
1000981|Oxymetazoline|7812
1000985|Oxymetazoline|7812
1000987|Oxymetazoline|7812
1000990|Oxymetazoline|7812
1000992|Oxymetazoline|7812
1000994|Oxymetazoline|7812
1000996|Oxymetazoline|7812
1001002|Oxymetazoline|7812
1001004|Pilocarpine|8328
1001006|Pilocarpine|8328
1001020|Oxymetazoline|7812
1001054|Oxymetazoline|7812
1001058|Oxymetazoline|7812
1001066|Oxymetazoline|7812
1001084|Oxymetazoline|7812
1001405|docetaxel|72962
1001409|Calcium Carbonate|1897
1001409|Ergocalciferol|4018
1001433|cabazitaxel|996051
1001437|Caffeine|1886
1001437|Magnesium Salicylate|52364
1001476|Aspirin|1191
1001591|Fibrinogen|4385
1001591|Thrombin|10528
1001593|Fibrinogen|4385
1001593|Thrombin|10528
1001601|Fibrinogen|4385
1001601|Thrombin|10528
1001603|Fibrinogen|4385
1001603|Thrombin|10528
1001679|Calcium Carbonate|1897
1001679|Cholecalciferol|2418
1001679|Magnesium Oxide|6582
1001689|Magnesium Sulfate|6585
1001689|potassium sulfate|34323
1001689|sodium sulfate|36721
1001690|Magnesium Sulfate|6585
1001690|potassium sulfate|34323
1001690|sodium sulfate|36721
1001691|Calcium Carbonate|1897
1001691|Cholecalciferol|2418
1001691|Vitamin K 1|8308
1001714|Sulfacetamide|10169
1001714|Sulfur|10223
1001718|Sulfacetamide|10169
1001718|Sulfur|10223
1001751|Cholecalciferol|2418
1001751|Calcium Citrate|47613
1002300|nilotinib|662281
1005706|Vitamin D|11253
1005706|Calcium Citrate|47613
1005767|Sulfacetamide|10169
1005767|Sulfur|10223
1005819|Sulfacetamide|10169
1005819|Sulfur|10223
1005830|prednisolone|8638
1005831|prednisolone|8638
1005834|Sulfacetamide|10169
1005834|Sulfur|10223
1005835|Sulfacetamide|10169
1005835|Sulfur|10223
1005853|Sulfacetamide|10169
1005853|Sulfur|10223
1005856|Sulfacetamide|10169
1005856|Sulfur|10223
1005924|ulipristal|1005921
1005928|ulipristal|1005921
1006057|Sulfacetamide|10169
1006057|Sulfur|10223
1006065|Ethinyl Estradiol|4124
1006065|Levonorgestrel|6373
1006079|Benzocaine|1399
1006079|Menthol|6750
1006096|Allantoin|508
1006096|Benzocaine|1399
1006096|Camphor|1952
1006096|Petrolatum|8091
1006105|Sulfacetamide|10169
1006105|Sulfur|10223
1006107|Sulfacetamide|10169
1006110|Sulfacetamide|10169
1006114|Sulfacetamide|10169
1006116|Sulfacetamide|10169
1006120|Sulfacetamide|10169
1006122|Sulfacetamide|10169
1006353|Russian thistle pollen extract|852158
1006355|Russian thistle pollen extract|852158
1006359|Russian thistle pollen extract|852158
1006361|Canada goldenrod pollen extract|995743
1006363|Canada goldenrod pollen extract|995743
1006365|Canada goldenrod pollen extract|995743
1006367|Canada goldenrod pollen extract|995743
1006374|mango blossom pollen extract|1006371
1006439|Sodium Fluoride|9873
1006482|nettle pollen extract|852046
1006486|nettle pollen extract|852046
1006490|rough cocklebur pollen extract|995600
1006509|tall oat grass pollen extract|1006506
1006558|Sodium Fluoride|9873
1006608|dexmethylphenidate|352372
1006610|dexmethylphenidate|352372
1006632|Ivermectin|6069
1006632|Pyrantel|8984
1006679|Urea|11002
1006683|Sulfacetamide|10169
1006684|Sulfacetamide|10169
1006688|Sulfacetamide|10169
1006693|Sulfacetamide|10169
1006729|Sulfacetamide|10169
1006801|Clozapine|2626
1006803|Clozapine|2626
1009145|Amphetamine|725
1009145|Dextroamphetamine|3288
1009147|Amphetamine|725
1009147|Dextroamphetamine|3288
1009216|Epoprostenol|8814
1009339|bimatoprost|283810
1009341|bimatoprost|283810
1009433|Lidocaine|6387
1009456|Botulinum Toxin Type A|1712
1009459|Botulinum Toxin Type A|1712
1009462|Lidocaine|6387
1009463|Sodium Chloride|9863
1010033|Lidocaine|6387
1010035|Lidocaine|6387
1010077|Lidocaine|6387
1010234|Sulfacetamide|10169
1010234|Sulfur|10223
1010238|Sulfacetamide|10169
1010238|Sulfur|10223
1010600|Buprenorphine|1819
1010600|Naloxone|7242
1010603|Buprenorphine|1819
1010603|Naloxone|7242
1010604|Buprenorphine|1819
1010604|Naloxone|7242
1010606|Buprenorphine|1819
1010606|Naloxone|7242
1010654|Methocarbamol|6845
1010671|Lidocaine|6387
1010673|Lidocaine|6387
1010688|Epinephrine|3992
1010688|Lidocaine|6387
1010692|Epinephrine|3992
1010692|Lidocaine|6387
1010696|carbinoxamine|20220
1010732|POLYETHYLENE GLYCOL 3350|221147
1010739|Lidocaine|6387
1010745|Epinephrine|3992
1010745|Lidocaine|6387
1010749|Epinephrine|3992
1010749|Lidocaine|6387
1010751|Epinephrine|3992
1010751|Lidocaine|6387
1010755|Epinephrine|3992
1010755|Lidocaine|6387
1010759|Epinephrine|3992
1010759|Lidocaine|6387
1010763|Epinephrine|3992
1010763|Lidocaine|6387
1010768|Epinephrine|3992
1010768|Lidocaine|6387
1010769|Lidocaine|6387
1010774|Lidocaine|6387
1010823|Menthol|6750
1010835|Lidocaine|6387
1010836|Lidocaine|6387
1010844|Lidocaine|6387
1010846|Lidocaine|6387
1010878|Lidocaine|6387
1010895|Lidocaine|6387
1010900|Lidocaine|6387
1010902|Lidocaine|6387
1010931|Lidocaine|6387
1011080|Dexamethasone|3264
1011080|Tobramycin|10627
1011081|Ethinyl Estradiol|4124
1011081|drospirenone|11636
1011087|ALPHA-D-GALACTOSIDASE ENZYME|259351
1011093|Lidocaine|6387
1011482|Cetirizine|20610
1011485|Cetirizine|20610
1011625|pegaptanib|498509
1011626|pegaptanib|498509
1011646|Epinephrine|3992
1011646|Articaine|592464
1011648|Epinephrine|3992
1011648|Articaine|592464
1011653|Pegloticase|1011650
1011657|Pegloticase|1011650
1011703|Lidocaine|6387
1011705|Lidocaine|6387
1011707|Lidocaine|6387
1011709|Lidocaine|6387
1011710|Hydrochlorothiazide|5487
1011710|aliskiren|325646
1011712|Hydrochlorothiazide|5487
1011712|aliskiren|325646
1011713|Hydrochlorothiazide|5487
1011713|aliskiren|325646
1011715|Hydrochlorothiazide|5487
1011715|aliskiren|325646
1011736|aliskiren|325646
1011738|aliskiren|325646
1011739|aliskiren|325646
1011741|aliskiren|325646
1011750|Hydrochlorothiazide|5487
1011750|aliskiren|325646
1011752|Hydrochlorothiazide|5487
1011752|aliskiren|325646
1011753|Hydrochlorothiazide|5487
1011753|aliskiren|325646
1011755|Hydrochlorothiazide|5487
1011755|aliskiren|325646
1011767|Lidocaine|6387
1011809|Epinephrine|3992
1011809|Lidocaine|6387
1011814|Epinephrine|3992
1011814|Lidocaine|6387
1011820|Epinephrine|3992
1011820|Lidocaine|6387
1011839|Benzalkonium|1378
1011839|Lidocaine|6387
1011843|Benzethonium|1390
1011843|Lidocaine|6387
1011845|Benzethonium|1390
1011845|Lidocaine|6387
1011849|Lidocaine|6387
1011851|Lidocaine|6387
1011852|Lidocaine|6387
1011854|Lidocaine|6387
1011870|Nicotine|7407
1011872|Nicotine|7407
1011875|Sulfacetamide|10169
1011875|Sulfur|10223
1011983|Benzalkonium|1378
1011983|Lidocaine|6387
1011985|prednisolone|8638
1011985|Sulfacetamide|10169
1011987|prednisolone|8638
1011987|Sulfacetamide|10169
1012015|prednisolone|8638
1012015|Sulfacetamide|10169
1012017|prednisolone|8638
1012017|Sulfacetamide|10169
1012021|prednisolone|8638
1012021|Sulfacetamide|10169
1012066|Lidocaine|6387
1012068|Lidocaine|6387
1012081|Benzalkonium|1378
1012081|Lidocaine|6387
1012099|Benzalkonium|1378
1012099|Lidocaine|6387
1012100|Benzalkonium|1378
1012100|Lidocaine|6387
1012218|aspen pollen extract|852339
1012221|Hydrocortisone|5492
1012221|Lidocaine|6387
1012223|Hydrocortisone|5492
1012223|Lidocaine|6387
1012229|Hydrocortisone|5492
1012229|Lidocaine|6387
1012233|Hydrocortisone|5492
1012233|Lidocaine|6387
1012235|Hydrocortisone|5492
1012235|Lidocaine|6387
1012327|Hydrocortisone|5492
1012327|Lidocaine|6387
1012345|Hydrocortisone|5492
1012345|Lidocaine|6387
1012377|Bupivacaine|1815
1012377|Epinephrine|3992
1012381|Bupivacaine|1815
1012381|Epinephrine|3992
1012384|Bupivacaine|1815
1012384|Epinephrine|3992
1012388|Bupivacaine|1815
1012388|Epinephrine|3992
1012391|Bupivacaine|1815
1012391|Epinephrine|3992
1012396|Bupivacaine|1815
1012400|Bupivacaine|1815
1012404|Bupivacaine|1815
1012406|Bupivacaine|1815
1012413|Bupivacaine|1815
1012413|Epinephrine|3992
1012417|Bupivacaine|1815
1012417|Epinephrine|3992
1012421|Bupivacaine|1815
1012421|Epinephrine|3992
1012455|Bupivacaine|1815
1012457|Bupivacaine|1815
1012461|Bupivacaine|1815
1012461|Epinephrine|3992
1012465|Dantrolene|3105
1012583|Lidocaine|6387
1012594|Lidocaine|6387
1012706|Prilocaine|8686
1012709|Epinephrine|3992
1012709|Prilocaine|8686
1012722|Mepivacaine|6759
1012724|Mepivacaine|6759
1012726|Mepivacaine|6759
1012731|Mepivacaine|6759
1012733|Mepivacaine|6759
1012735|Mepivacaine|6759
1012737|Mepivacaine|6759
1012739|Mepivacaine|6759
1012741|Mepivacaine|6759
1012745|Mepivacaine|6759
1012747|Mepivacaine|6759
1012756|Mepivacaine|6759
1012762|Mepivacaine|6759
1012769|Mepivacaine|6759
1012769|Levonordefrin|132889
1012779|Mepivacaine|6759
1012779|Levonordefrin|132889
1012785|Mepivacaine|6759
1012785|Levonordefrin|132889
1012895|fingolimod|1012892
1012899|fingolimod|1012892
1012904|carbinoxamine|20220
1012955|Lidocaine|6387
1012966|Lidocaine|6387
1013114|prednisolone|8638
1013619|Chlorpheniramine|2400
1013619|Phenylephrine|8163
1013626|Ethinyl Estradiol|4124
1013626|drospirenone|11636
1013626|levomefolate|1592257
1013628|levomefolate|1592257
1013629|Ethinyl Estradiol|4124
1013629|drospirenone|11636
1013629|levomefolate|1592257
1013630|Ethinyl Estradiol|4124
1013630|drospirenone|11636
1013630|levomefolate|1592257
1013636|calcipotriene|29365
1013647|Chondroitin Sulfates|2473
1013647|Glucosamine|4845
1013649|krill oil|880350
1013659|Minocycline|6980
1013662|Minocycline|6980
1013665|Minocycline|6980
1013731|Phenylephrine|8163
1013731|Pyrilamine|9009
1013867|alpha 1-Antitrypsin|535
1013869|european olive pollen extract|852653
1013871|european olive pollen extract|852653
1013878|eastern white pine pollen extract|852738
1013880|eastern white pine pollen extract|852738
1013883|loblolly pine pollen extract|900770
1013887|black walnut pollen extract|852569
1013889|black walnut pollen extract|852569
1013891|English walnut pollen extract|852577
1013902|English walnut pollen extract|852577
1013904|English walnut pollen extract|852577
1013910|loblolly pine pollen extract|900770
1013916|scrub pine pollen extract|1013913
1013923|scrub pine pollen extract|1013913
1013927|scrub pine pollen extract|1013913
1013930|Clonidine|2599
1013934|Clonidine|2599
1013937|Clonidine|2599
1013939|Clonidine|2599
1013942|eastern sycamore pollen extract|852746
1013951|water oak pollen extract|1013944
1013953|water oak pollen extract|1013944
1013955|red oak pollen extract|852268
1013957|red oak pollen extract|852268
1013959|red oak pollen extract|852268
1013961|red oak pollen extract|852268
1013964|bald cypress pollen extract|995747
1013966|canary grass pollen extract|852697
1013972|dandelion pollen extract|852079
1013974|dandelion pollen extract|852079
1013991|rough cocklebur pollen extract|995600
1014002|dandelion pollen extract|852079
1014005|Dextromethorphan|3289
1014005|Guaifenesin|5032
1014018|Minocycline|6980
1014022|Minocycline|6980
1014024|Minocycline|6980
1014123|Sulfacetamide|10169
1014123|Sulfur|10223
1014130|Sodium Chloride|9863
1014132|Sodium Chloride|9863
1014137|Sodium Chloride|9863
1014194|cedar elm pollen extract|1014191
1014235|privet pollen extract|852622
1014242|Linoleic Acids, Conjugated|382272
1014266|privet pollen extract|852622
1014268|privet pollen extract|852622
1014284|Petrolatum|8091
1014284|dimethicone|324072
1014303|Fibrinogen|4385
1014303|Thrombin|10528
1014305|Fibrinogen|4385
1014305|Thrombin|10528
1014311|sweet gum pollen extract|852627
1014313|sweet gum pollen extract|852627
1014314|Triamcinolone|10759
1014318|Triamcinolone|10759
1014326|Arroyo willow pollen extract|852170
1014328|black willow pollen extract|852162
1014331|Brompheniramine|1767
1014331|Pseudoephedrine|8896
1014331|chlophedianol|21254
1014337|black willow pollen extract|852162
1014343|Italian rye grass pollen extract|1014340
1014347|Italian rye grass pollen extract|1014340
1014357|western white pine pollen extract|900743
1014363|longleaf pine pollen extract|1014360
1014427|Alanine|426
1014427|Arginine|1091
1014427|Cysteine|3024
1014427|Glycine|4919
1014427|Histidine|5340
1014427|Isoleucine|6033
1014427|Leucine|6308
1014427|Lysine|6536
1014427|Methionine|6837
1014427|Phenylalanine|8156
1014427|Phosphoric acid|8259
1014427|Proline|8737
1014427|Serine|9671
1014427|Threonine|10524
1014427|Tryptophan|10898
1014427|Valine|11115
1014427|sodium bisulfite|36679
1014431|Alanine|426
1014431|Arginine|1091
1014431|Cysteine|3024
1014431|Glycine|4919
1014431|Histidine|5340
1014431|Isoleucine|6033
1014431|Leucine|6308
1014431|Lysine|6536
1014431|Methionine|6837
1014431|Phenylalanine|8156
1014431|Phosphoric acid|8259
1014431|Proline|8737
1014431|Serine|9671
1014431|Threonine|10524
1014431|Tryptophan|10898
1014431|Valine|11115
1014431|sodium bisulfite|36679
1014442|longleaf pine pollen extract|1014360
1014446|Broad leaved paperbark pollen extract|903913
1014571|Pseudoephedrine|8896
1014571|Cetirizine|20610
1014573|Pseudoephedrine|8896
1014573|Cetirizine|20610
1014580|Pseudoephedrine|8896
1014580|Cetirizine|20610
1014583|Pseudoephedrine|8896
1014583|Cetirizine|20610
1014599|Acetaminophen|161
1014599|Oxycodone|7804
1014615|Acetaminophen|161
1014615|Oxycodone|7804
1014632|Acetaminophen|161
1014632|Oxycodone|7804
1014638|Isopropyl Alcohol|797541
1014643|Cetirizine|20610
1014673|Cetirizine|20610
1014674|Cetirizine|20610
1014675|Cetirizine|20610
1014676|Cetirizine|20610
1014677|Cetirizine|20610
1014678|Cetirizine|20610
1014680|white mulberry pollen extract|852669
1014684|white mulberry pollen extract|852669
1014686|white mulberry pollen extract|852669
1014687|red mulberry pollen extract|852680
1014695|Italian rye grass pollen extract|1014340
1014699|longleaf pine pollen extract|1014360
1014703|red mulberry pollen extract|852680
1014718|aspen pollen extract|852339
1014730|bur oak pollen extract|900991
1014738|white sweet clover pollen extract|1014735
1014771|Broad leaved paperbark pollen extract|903913
1014773|Broad leaved paperbark pollen extract|903913
1014777|cultivated rye grass pollen extract|1014774
1020017|Cetirizine|20610
1020021|Cetirizine|20610
1020022|Cetirizine|20610
1020023|Cetirizine|20610
1020026|Cetirizine|20610
1020035|calcipotriene|29365
1020039|calcipotriene|29365
1020064|Risedronate|73056
1020065|Risedronate|73056
1020066|Risedronate|73056
1020126|Loratadine|28889
1020138|Dextromethorphan|3289
1020138|Guaifenesin|5032
1020155|Ethinyl Estradiol|4124
1020155|Levonorgestrel|6373
1020365|Benzalkonium|1378
1020420|Capsaicin|1992
1020420|Lidocaine|6387
1020420|Menthol|6750
1020420|methyl salicylate|29787
1020477|Diphenhydramine|3498
1020479|Diphenhydramine|3498
1020510|bromfenac|19737
102250|Hydrocortisone|5492
102787|Lincomycin|6398
103401|Hydrocortisone|5492
103403|Hydrocortisone|5492
103439|Desonide|3254
103456|Fluocinonide|4462
103457|Fluocinonide|4462
103467|Halcinonide|5084
103568|Salicylic Acid|9525
103570|Mupirocin|42372
1037030|Stannous Fluoride|10030
1037034|Stannous Fluoride|10030
1037045|dabigatran etexilate|1037042
1037049|dabigatran etexilate|1037042
1037117|Benzocaine|1399
1037117|Menthol|6750
1037153|Guaifenesin|5032
1037153|Phenylephrine|8163
1037153|carbetapentane|20217
1037179|dabigatran etexilate|1037042
1037181|dabigatran etexilate|1037042
1037183|Ethinyl Estradiol|4124
1037183|Norethindrone|7514
1037184|Ethinyl Estradiol|4124
1037184|Norethindrone|7514
1037184|Ferrous fumarate|24941
1037185|Ethinyl Estradiol|4124
1037185|Norethindrone|7514
1037185|Ferrous fumarate|24941
1037204|Povidone-Iodine|8611
1037205|Povidone-Iodine|8611
1037234|Methenamine|6832
1037234|Methylene blue|6878
1037234|phenyl salicylate|36122
1037234|Benzoate|70589
1037234|Hyoscyamine|153970
1037236|Methenamine|6832
1037236|Methylene blue|6878
1037236|phenyl salicylate|36122
1037236|Benzoate|70589
1037236|Hyoscyamine|153970
1037248|Tolnaftate|10637
1037259|Acetaminophen|161
1037259|Oxycodone|7804
1037273|Acetaminophen|161
1037273|salicylamide|9518
1037273|phenyltoloxamine|33408
1037274|Acetaminophen|161
1037274|salicylamide|9518
1037274|phenyltoloxamine|33408
1037285|Petrolatum|8091
1038558|Benzalkonium|1378
1038787|Glucose|4850
1038791|Benzalkonium|1378
1038799|Benzalkonium|1378
1038810|Polysaccharide iron complex|105669
1038841|Sodium Fluoride|9873
1038841|potassium nitrate|34316
1038856|Benzalkonium|1378
1038904|Sodium Fluoride|9873
1038908|Sodium Fluoride|9873
1038929|Sodium Fluoride|9873
1038929|potassium nitrate|34316
1038957|Lanolin|6227
1038959|Lanolin|6227
1038977|Menthol|6750
1038982|Salicylic Acid|9525
1038985|Menthol|6750
103899|Rifabutin|55672
1039012|Benzalkonium|1378
1039026|Benzethonium|1390
1039054|Starch|10046
1039054|Zinc Oxide|11423
1039057|Starch|10046
1039057|Zinc Oxide|11423
1039065|corn starch|1039062
1039069|corn starch|1039062
1039073|Benzocaine|1399
1039073|Glycerin|4910
103918|fluvastatin|41127
103919|fluvastatin|41127
1039204|Menthol|6750
1039206|Menthol|6750
1039227|Benzocaine|1399
1039227|Menthol|6750
1039251|Benzocaine|1399
1039251|Dextromethorphan|3289
1039255|Benzocaine|1399
1039255|Dextromethorphan|3289
1039273|Hydrocortisone|5492
1039279|Hydrocortisone|5492
1039281|Hydrocortisone|5492
1039285|Dextromethorphan|3289
1039285|Guaifenesin|5032
1039286|Dextromethorphan|3289
1039286|Guaifenesin|5032
1039286|Phenylephrine|8163
1039349|Hydrocortisone|5492
1039353|Hydrocortisone|5492
103943|Ciprofloxacin|2551
103951|Tolnaftate|10637
1039541|pramoxine|34347
1039550|pramoxine|34347
1039558|Salicylic Acid|9525
103956|Alprostadil|598
1039560|Salicylic Acid|9525
1039654|doripenem|119771
1039657|doripenem|119771
1039673|Hexylresorcinol|5321
1039679|Capsaicin|1992
103968|lamotrigine|28439
1039681|Capsaicin|1992
1039685|Salicylic Acid|9525
1039731|Camphor|1952
1039731|Menthol|6750
1039751|hypromellose|27334
1039799|Menthol|6750
1039965|sennosides, USP|36387
1040008|ceftaroline fosamil|1040004
1040012|ceftaroline fosamil|1040004
1040014|ceftaroline fosamil|1040004
1040016|ceftaroline fosamil|1040004
1040018|Menthol|6750
1040025|Corticotropin|376
1040031|lurasidone|1040028
1040036|lurasidone|1040028
1040041|lurasidone|1040028
1040043|lurasidone|1040028
1040054|Dextromethorphan|3289
1040054|Quinidine|9068
1040058|Dextromethorphan|3289
1040058|Quinidine|9068
104052|Propantheline|8761
104062|Cimetidine|2541
104084|Ranitidine|9143
104094|Famotidine|4278
104095|Famotidine|4278
104096|Nizatidine|42319
104098|Misoprostol|42331
104112|mesalamine|52582
1041495|bimatoprost|283810
1041497|bimatoprost|283810
1041516|dimethicone|324072
1041518|Azelate|618278
1041520|Azelate|618278
1041530|Acetaminophen|161
104155|Glycerin|4910
1041718|Lactate|114202
1041780|Ethanol|448
1041798|Propylene glycol|34693
1041800|resveratrol|1000492
1041814|thyroid (USP)|10572
1041869|Benzethonium|1390
104206|Digoxin|3407
104208|Digoxin|3407
104232|Spironolactone|9997
1042619|Isopropyl Alcohol|797541
1042644|Ethanol|448
1042663|Camphor|1952
1042663|Menthol|6750
1042667|Camphor|1952
1042667|Menthol|6750
1042684|Acetaminophen|161
1042684|Dextromethorphan|3289
1042684|Doxylamine|3642
1042688|Acetaminophen|161
1042688|Chlorpheniramine|2400
1042688|Dextromethorphan|3289
1042688|Phenylephrine|8163
1042692|Cholecalciferol|2418
1042692|Calcium Citrate|47613
1042693|Chlorpheniramine|2400
1042693|Codeine|2670
1042693|Phenylephrine|8163
1042836|Benzalkonium|1378
1042836|Benzocaine|1399
1042836|zinc chloride|39937
1042838|Benzalkonium|1378
1042838|Benzocaine|1399
1042847|Benzalkonium|1378
1042847|Benzocaine|1399
1043014|zinc pyrithione|39952
1043022|Cefixime|25033
1043025|Cefixime|25033
1043030|Cefixime|25033
1043031|Cefixime|25033
1043048|bismuth subsalicylate|19478
1043063|Hydrocortisone|5492
1043074|Hydrocortisone|5492
1043224|Menthol|6750
1043228|Menthol|6750
1043232|Menthol|6750
1043244|zinc pyrithione|39952
1043249|tetrahydrozoline|37935
1043249|Zinc Sulfate|39954
1043300|Docosahexaenoate|73
1043300|Ascorbic Acid|1151
1043300|Cholecalciferol|2418
1043300|Folic Acid|4511
1043300|Ferrous fumarate|24941
1043300|tricalcium phosphate|47628
1043300|Docusate|82003
1043300|alpha Tocopherol|237099
1043300|pyridoxine|684879
1043353|Benzocaine|1399
1043397|Coal Tar|2635
1043399|Capsaicin|1992
1043400|Acetaminophen|161
1043400|Dextromethorphan|3289
1043400|Doxylamine|3642
1043451|Menthol|6750
1043488|Povidone-Iodine|8611
1043499|Chlorpheniramine|2400
1043499|Pseudoephedrine|8896
1043539|Capsaicin|1992
1043539|Menthol|6750
1043543|Dextromethorphan|3289
1043543|Guaifenesin|5032
1043543|Phenylephrine|8163
1043549|Petrolatum|8091
1043549|Zinc Oxide|11423
1043563|Metformin|6809
1043563|saxagliptin|857974
1043567|Metformin|6809
1043567|saxagliptin|857974
1043570|Metformin|6809
1043570|saxagliptin|857974
1043574|Metformin|6809
1043574|saxagliptin|857974
1043578|Metformin|6809
1043578|saxagliptin|857974
1043582|Metformin|6809
1043582|saxagliptin|857974
1043605|Zinc Oxide|11423
1043605|dimethicone|324072
1043608|Glycerin|4910
1043608|Naphazoline|7247
1043608|hypromellose|27334
1043619|Menthol|6750
1043619|Thymol|10553
1043619|Eucalyptol|21116
1043619|methyl salicylate|29787
1043623|Menthol|6750
1043623|Thymol|10553
1043623|Eucalyptol|21116
1043623|methyl salicylate|29787
1043642|Naphazoline|7247
1043658|Naphazoline|7247
1043658|Pheniramine|8132
104367|Doxazosin|49276
1043673|Naphazoline|7247
1043673|Pheniramine|8132
1043675|mountain cedar pollen extract|852581
104368|Doxazosin|49276
104369|Doxazosin|49276
1043690|Hydrocortisone|5492
1043704|Naphazoline|7247
1043704|Pheniramine|8132
1043708|Naphazoline|7247
1043708|Pheniramine|8132
1043719|Mineral Oil|6972
1043748|Azelate|618278
104375|Lisinopril|29046
1043753|Azelate|618278
104376|Lisinopril|29046
104377|Lisinopril|29046
104378|Lisinopril|29046
1043785|oneseed juniper pollen extract|900108
104384|Ramipril|35296
104385|Ramipril|35296
104420|Felodipine|4316
1044207|Utah juniper pollen extract|852597
1044220|redberry juniper pollen extract|900113
1044226|Rocky Mountain juniper pollen extract|852601
1044240|western wheatgrass pollen extract|852659
1044242|western wheatgrass pollen extract|852659
1044250|canary grass pollen extract|852697
1044261|yellow pine pollen extract|852716
1044268|Menthol|6750
1044268|methyl salicylate|29787
1044286|Naphazoline|7247
1044286|Phenylephrine|8163
1044286|Pyrilamine|9009
1044298|mesquite pollen extract|852320
1044305|coast live oak pollen extract|852302
1044320|white oak pollen extract|852294
1044322|Gambels oak pollen extract|852276
1044329|California black oak pollen extract|1014721
1044331|California black oak pollen extract|1014721
1044341|bur oak pollen extract|900991
1044349|water oak pollen extract|1013944
1044351|water oak pollen extract|1013944
1044353|black oak pollen extract|852260
1044355|black oak pollen extract|852260
1044357|live oak pollen extract|867311
1044359|bald cypress pollen extract|995747
1044396|cedar elm pollen extract|1014191
1044400|cedar elm pollen extract|1014191
1044402|para grass pollen extract|894750
1044404|para grass pollen extract|894750
1044412|Zinc Oxide|11423
